Time (s),HB (mM),Glu (mM),pH,label
0.1,0.22786,2.1904,7.48439,2
0.2,0.2279,2.19041,7.48434,2
0.3,0.22794,2.19042,7.48429,2
0.4,0.22797,2.19043,7.48424,2
0.5,0.22801,2.19044,7.48419,2
0.6,0.22805,2.19045,7.48415,2
0.7,0.22809,2.19045,7.4841,2
0.8,0.22813,2.19046,7.48405,2
0.9,0.22816,2.19046,7.48401,2
1,0.2282,2.19047,7.48396,2
1.1,0.22824,2.19047,7.48391,2
1.2,0.22827,2.19048,7.48387,2
1.3,0.22831,2.19048,7.48382,2
1.4,0.22835,2.19049,7.48377,2
1.5,0.22838,2.19049,7.48373,2
1.6,0.22842,2.19049,7.48368,2
1.7,0.22846,2.19049,7.48364,2
1.8,0.22849,2.19049,7.48359,2
1.9,0.22853,2.1905,7.48354,2
2,0.22856,2.1905,7.4835,2
2.1,0.2286,2.1905,7.48345,2
2.2,0.22863,2.19049,7.48341,2
2.3,0.22867,2.19049,7.48336,2
2.4,0.2287,2.19049,7.48332,2
2.5,0.22873,2.19049,7.48327,2
2.6,0.22877,2.19049,7.48323,2
2.7,0.2288,2.19048,7.48318,2
2.8,0.22883,2.19048,7.48314,2
2.9,0.22887,2.19048,7.4831,2
3,0.2289,2.19047,7.48305,2
3.1,0.22893,2.19047,7.48301,2
3.2,0.22897,2.19046,7.48296,2
3.3,0.229,2.19046,7.48292,2
3.4,0.22903,2.19045,7.48288,2
3.5,0.22906,2.19044,7.48283,2
3.6,0.22909,2.19044,7.48279,2
3.7,0.22913,2.19043,7.48275,2
3.8,0.22916,2.19042,7.4827,2
3.9,0.22919,2.19041,7.48266,2
4,0.22922,2.1904,7.48262,2
4.1,0.22925,2.19039,7.48257,2
4.2,0.22928,2.19038,7.48253,2
4.3,0.22931,2.19037,7.48249,2
4.4,0.22934,2.19036,7.48245,2
4.5,0.22937,2.19035,7.48241,2
4.6,0.2294,2.19034,7.48236,2
4.7,0.22943,2.19033,7.48232,2
4.8,0.22946,2.19032,7.48228,2
4.9,0.22949,2.1903,7.48224,2
5,0.22952,2.19029,7.4822,2
5.1,0.22955,2.19028,7.48215,2
5.2,0.22958,2.19026,7.48211,2
5.3,0.22961,2.19025,7.48207,2
5.4,0.22963,2.19023,7.48203,2
5.5,0.22966,2.19022,7.48199,2
5.6,0.22969,2.1902,7.48195,2
5.7,0.22972,2.19019,7.48191,2
5.8,0.22975,2.19017,7.48187,2
5.9,0.22977,2.19015,7.48183,2
6,0.2298,2.19013,7.48179,2
6.1,0.22983,2.19012,7.48175,2
6.2,0.22985,2.1901,7.48171,2
6.3,0.22988,2.19008,7.48167,2
6.4,0.22991,2.19006,7.48163,2
6.5,0.22993,2.19004,7.48159,2
6.6,0.22996,2.19002,7.48155,2
6.7,0.22999,2.19,7.48151,2
6.8,0.23001,2.18998,7.48147,2
6.9,0.23004,2.18996,7.48143,2
7,0.23006,2.18994,7.48139,2
7.1,0.23009,2.18992,7.48135,2
7.2,0.23011,2.1899,7.48132,2
7.3,0.23014,2.18987,7.48128,2
7.4,0.23016,2.18985,7.48124,2
7.5,0.23019,2.18983,7.4812,2
7.6,0.23021,2.1898,7.48116,2
7.7,0.23024,2.18978,7.48112,2
7.8,0.23026,2.18976,7.48109,2
7.9,0.23028,2.18973,7.48105,2
8,0.23031,2.18971,7.48101,2
8.1,0.23033,2.18968,7.48097,2
8.2,0.23035,2.18965,7.48093,2
8.3,0.23038,2.18963,7.4809,2
8.4,0.2304,2.1896,7.48086,2
8.5,0.23042,2.18958,7.48082,2
8.6,0.23045,2.18955,7.48079,2
8.7,0.23047,2.18952,7.48075,2
8.8,0.23049,2.18949,7.48071,2
8.9,0.23051,2.18946,7.48068,2
9,0.23054,2.18944,7.48064,2
9.1,0.23056,2.18941,7.4806,2
9.2,0.23058,2.18938,7.48057,2
9.3,0.2306,2.18935,7.48053,2
9.4,0.23062,2.18932,7.48049,2
9.5,0.23064,2.18929,7.48046,2
9.6,0.23066,2.18926,7.48042,2
9.7,0.23068,2.18923,7.48039,2
9.8,0.23071,2.1892,7.48035,2
9.9,0.23073,2.18916,7.48032,2
10,0.23075,2.18913,7.48028,2
10.1,0.23077,2.1891,7.48025,2
10.2,0.23079,2.18907,7.48021,2
10.3,0.23081,2.18903,7.48018,2
10.4,0.23083,2.189,7.48014,2
10.5,0.23085,2.18897,7.48011,2
10.6,0.23086,2.18893,7.48007,2
10.7,0.23088,2.1889,7.48004,2
10.8,0.2309,2.18887,7.48,2
10.9,0.23092,2.18883,7.47997,2
11,0.23094,2.1888,7.47993,2
11.1,0.23096,2.18876,7.4799,2
11.2,0.23098,2.18872,7.47987,2
11.3,0.231,2.18869,7.47983,2
11.4,0.23101,2.18865,7.4798,2
11.5,0.23103,2.18862,7.47977,2
11.6,0.23105,2.18858,7.47973,2
11.7,0.23107,2.18854,7.4797,2
11.8,0.23109,2.1885,7.47967,2
11.9,0.2311,2.18847,7.47963,2
12,0.23112,2.18843,7.4796,2
12.1,0.23114,2.18839,7.47957,2
12.2,0.23115,2.18835,7.47953,2
12.3,0.23117,2.18831,7.4795,2
12.4,0.23119,2.18827,7.47947,2
12.5,0.2312,2.18823,7.47944,2
12.6,0.23122,2.1882,7.4794,2
12.7,0.23124,2.18816,7.47937,2
12.8,0.23125,2.18812,7.47934,2
12.9,0.23127,2.18807,7.47931,2
13,0.23128,2.18803,7.47928,2
13.1,0.2313,2.18799,7.47925,2
13.2,0.23131,2.18795,7.47921,2
13.3,0.23133,2.18791,7.47918,2
13.4,0.23135,2.18787,7.47915,2
13.5,0.23136,2.18783,7.47912,2
13.6,0.23138,2.18778,7.47909,2
13.7,0.23139,2.18774,7.47906,2
13.8,0.2314,2.1877,7.47903,2
13.9,0.23142,2.18765,7.479,2
14,0.23143,2.18761,7.47897,2
14.1,0.23145,2.18757,7.47894,2
14.2,0.23146,2.18752,7.4789,2
14.3,0.23148,2.18748,7.47887,2
14.4,0.23149,2.18744,7.47884,2
14.5,0.2315,2.18739,7.47881,2
14.6,0.23152,2.18735,7.47878,2
14.7,0.23153,2.1873,7.47875,2
14.8,0.23154,2.18726,7.47872,2
14.9,0.23156,2.18721,7.4787,2
15,0.23157,2.18716,7.47867,2
15.1,0.23158,2.18712,7.47864,2
15.2,0.23159,2.18707,7.47861,2
15.3,0.23161,2.18702,7.47858,2
15.4,0.23162,2.18698,7.47855,2
15.5,0.23163,2.18693,7.47852,2
15.6,0.23164,2.18688,7.47849,2
15.7,0.23166,2.18684,7.47846,2
15.8,0.23167,2.18679,7.47843,2
15.9,0.23168,2.18674,7.47841,2
16,0.23169,2.18669,7.47838,2
16.1,0.2317,2.18664,7.47835,2
16.2,0.23171,2.1866,7.47832,2
16.3,0.23172,2.18655,7.47829,2
16.4,0.23174,2.1865,7.47826,2
16.5,0.23175,2.18645,7.47824,2
16.6,0.23176,2.1864,7.47821,2
16.7,0.23177,2.18635,7.47818,2
16.8,0.23178,2.1863,7.47815,2
16.9,0.23179,2.18625,7.47813,2
17,0.2318,2.1862,7.4781,2
17.1,0.23181,2.18615,7.47807,2
17.2,0.23182,2.1861,7.47804,2
17.3,0.23183,2.18605,7.47802,2
17.4,0.23184,2.186,7.47799,2
17.5,0.23185,2.18594,7.47796,2
