Time (s),HB (mM),Glu (mM),pH,label
0.1,0.17599,2.15214,7.52193,2
0.2,0.17606,2.15235,7.52193,2
0.3,0.17613,2.15255,7.52192,2
0.4,0.1762,2.15275,7.52192,2
0.5,0.17627,2.15295,7.52191,2
0.6,0.17634,2.15315,7.5219,2
0.7,0.17641,2.15335,7.5219,2
0.8,0.17648,2.15354,7.52189,2
0.9,0.17655,2.15374,7.52188,2
1,0.17662,2.15393,7.52188,2
1.1,0.17669,2.15412,7.52187,2
1.2,0.17676,2.15431,7.52187,2
1.3,0.17682,2.1545,7.52186,2
1.4,0.17689,2.15468,7.52186,2
1.5,0.17696,2.15487,7.52185,2
1.6,0.17702,2.15505,7.52184,2
1.7,0.17709,2.15523,7.52184,2
1.8,0.17716,2.15541,7.52183,2
1.9,0.17722,2.15559,7.52183,2
2,0.17729,2.15576,7.52182,2
2.1,0.17735,2.15594,7.52182,2
2.2,0.17741,2.15611,7.52181,2
2.3,0.17748,2.15628,7.5218,2
2.4,0.17754,2.15645,7.5218,2
2.5,0.17761,2.15662,7.52179,2
2.6,0.17767,2.15679,7.52179,2
2.7,0.17773,2.15695,7.52178,2
2.8,0.17779,2.15712,7.52178,2
2.9,0.17786,2.15728,7.52177,2
3,0.17792,2.15744,7.52177,2
3.1,0.17798,2.1576,7.52176,2
3.2,0.17804,2.15776,7.52176,2
3.3,0.1781,2.15792,7.52175,2
3.4,0.17816,2.15807,7.52175,2
3.5,0.17822,2.15822,7.52174,2
3.6,0.17828,2.15838,7.52174,2
3.7,0.17834,2.15853,7.52173,2
3.8,0.1784,2.15868,7.52173,2
3.9,0.17846,2.15882,7.52172,2
4,0.17852,2.15897,7.52172,2
4.1,0.17857,2.15911,7.52171,2
4.2,0.17863,2.15926,7.52171,2
4.3,0.17869,2.1594,7.5217,2
4.4,0.17875,2.15954,7.5217,2
4.5,0.1788,2.15968,7.52169,2
4.6,0.17886,2.15982,7.52169,2
4.7,0.17892,2.15995,7.52168,2
4.8,0.17897,2.16009,7.52168,2
4.9,0.17903,2.16022,7.52167,2
5,0.17908,2.16035,7.52167,2
5.1,0.17914,2.16049,7.52166,2
5.2,0.17919,2.16061,7.52166,2
5.3,0.17925,2.16074,7.52165,2
5.4,0.1793,2.16087,7.52165,2
5.5,0.17935,2.16099,7.52164,2
5.6,0.17941,2.16112,7.52164,2
5.7,0.17946,2.16124,7.52163,2
5.8,0.17951,2.16136,7.52163,2
5.9,0.17957,2.16148,7.52163,2
6,0.17962,2.1616,7.52162,2
6.1,0.17967,2.16172,7.52162,2
6.2,0.17972,2.16183,7.52161,2
6.3,0.17977,2.16195,7.52161,2
6.4,0.17982,2.16206,7.5216,2
6.5,0.17987,2.16217,7.5216,2
6.6,0.17992,2.16228,7.5216,2
6.7,0.17997,2.16239,7.52159,2
6.8,0.18002,2.1625,7.52159,2
6.9,0.18007,2.16261,7.52158,2
7,0.18012,2.16271,7.52158,2
7.1,0.18017,2.16282,7.52157,2
