Time (s),HB (mM),Glu (mM),pH,label
0.1,0.12143,2.54494,7.43115,2
0.2,0.12144,2.54499,7.43116,2
0.3,0.12145,2.54505,7.43117,2
0.4,0.12146,2.5451,7.43118,2
0.5,0.12147,2.54515,7.4312,2
0.6,0.12148,2.5452,7.43121,2
0.7,0.12149,2.54526,7.43122,2
0.8,0.1215,2.54531,7.43123,2
0.9,0.12151,2.54536,7.43124,2
1,0.12152,2.54541,7.43125,2
1.1,0.12153,2.54546,7.43127,2
1.2,0.12153,2.54551,7.43128,2
1.3,0.12154,2.54557,7.43129,2
1.4,0.12155,2.54562,7.4313,2
1.5,0.12156,2.54567,7.43131,2
1.6,0.12157,2.54572,7.43132,2
1.7,0.12158,2.54577,7.43133,2
1.8,0.12159,2.54582,7.43134,2
1.9,0.1216,2.54587,7.43135,2
2,0.12161,2.54592,7.43137,2
2.1,0.12161,2.54597,7.43138,2
2.2,0.12162,2.54602,7.43139,2
2.3,0.12163,2.54607,7.4314,2
2.4,0.12164,2.54612,7.43141,2
2.5,0.12165,2.54617,7.43142,2
2.6,0.12166,2.54621,7.43143,2
2.7,0.12167,2.54626,7.43144,2
2.8,0.12167,2.54631,7.43145,2
2.9,0.12168,2.54636,7.43146,2
3,0.12169,2.54641,7.43147,2
3.1,0.1217,2.54646,7.43148,2
3.2,0.12171,2.5465,7.43149,2
3.3,0.12172,2.54655,7.4315,2
3.4,0.12173,2.5466,7.43151,2
3.5,0.12173,2.54665,7.43152,2
3.6,0.12174,2.54669,7.43153,2
3.7,0.12175,2.54674,7.43154,2
3.8,0.12176,2.54679,7.43155,2
3.9,0.12177,2.54683,7.43156,2
4,0.12178,2.54688,7.43157,2
4.1,0.12178,2.54693,7.43158,2
4.2,0.12179,2.54697,7.43158,2
4.3,0.1218,2.54702,7.43159,2
4.4,0.12181,2.54706,7.4316,2
4.5,0.12182,2.54711,7.43161,2
4.6,0.12182,2.54715,7.43162,2
4.7,0.12183,2.5472,7.43163,2
4.8,0.12184,2.54724,7.43164,2
4.9,0.12185,2.54729,7.43165,2
5,0.12186,2.54733,7.43166,2
5.1,0.12186,2.54738,7.43166,2
5.2,0.12187,2.54742,7.43167,2
5.3,0.12188,2.54747,7.43168,2
5.4,0.12189,2.54751,7.43169,2
5.5,0.12189,2.54755,7.4317,2
5.6,0.1219,2.5476,7.43171,2
5.7,0.12191,2.54764,7.43172,2
5.8,0.12192,2.54768,7.43172,2
5.9,0.12193,2.54773,7.43173,2
6,0.12193,2.54777,7.43174,2
6.1,0.12194,2.54781,7.43175,2
6.2,0.12195,2.54786,7.43176,2
6.3,0.12196,2.5479,7.43176,2
6.4,0.12196,2.54794,7.43177,2
6.5,0.12197,2.54798,7.43178,2
6.6,0.12198,2.54803,7.43179,2
6.7,0.12199,2.54807,7.43179,2
6.8,0.12199,2.54811,7.4318,2
6.9,0.122,2.54815,7.43181,2
7,0.12201,2.54819,7.43182,2
7.1,0.12202,2.54823,7.43182,2
7.2,0.12202,2.54827,7.43183,2
7.3,0.12203,2.54831,7.43184,2
7.4,0.12204,2.54835,7.43185,2
7.5,0.12205,2.5484,7.43185,2
7.6,0.12205,2.54844,7.43186,2
7.7,0.12206,2.54848,7.43187,2
7.8,0.12207,2.54852,7.43187,2
7.9,0.12207,2.54856,7.43188,2
8,0.12208,2.5486,7.43189,2
8.1,0.12209,2.54863,7.43189,2
8.2,0.1221,2.54867,7.4319,2
8.3,0.1221,2.54871,7.43191,2
8.4,0.12211,2.54875,7.43191,2
8.5,0.12212,2.54879,7.43192,2
8.6,0.12212,2.54883,7.43193,2
8.7,0.12213,2.54887,7.43193,2
8.8,0.12214,2.54891,7.43194,2
8.9,0.12215,2.54895,7.43195,2
9,0.12215,2.54898,7.43195,2
9.1,0.12216,2.54902,7.43196,2
9.2,0.12217,2.54906,7.43197,2
9.3,0.12217,2.5491,7.43197,2
9.4,0.12218,2.54913,7.43198,2
9.5,0.12219,2.54917,7.43198,2
9.6,0.12219,2.54921,7.43199,2
9.7,0.1222,2.54925,7.432,2
9.8,0.12221,2.54928,7.432,2
9.9,0.12221,2.54932,7.43201,2
10,0.12222,2.54936,7.43201,2
10.1,0.12223,2.54939,7.43202,2
10.2,0.12223,2.54943,7.43202,2
10.3,0.12224,2.54947,7.43203,2
10.4,0.12225,2.5495,7.43203,2
10.5,0.12225,2.54954,7.43204,2
10.6,0.12226,2.54957,7.43205,2
10.7,0.12227,2.54961,7.43205,2
10.8,0.12227,2.54964,7.43206,2
10.9,0.12228,2.54968,7.43206,2
11,0.12229,2.54971,7.43207,2
11.1,0.12229,2.54975,7.43207,2
11.2,0.1223,2.54978,7.43208,2
11.3,0.12231,2.54982,7.43208,2
11.4,0.12231,2.54985,7.43209,2
11.5,0.12232,2.54989,7.43209,2
11.6,0.12233,2.54992,7.4321,2
11.7,0.12233,2.54996,7.4321,2
11.8,0.12234,2.54999,7.43211,2
11.9,0.12234,2.55002,7.43211,2
12,0.12235,2.55006,7.43211,2
12.1,0.12236,2.55009,7.43212,2
12.2,0.12236,2.55012,7.43212,2
12.3,0.12237,2.55016,7.43213,2
12.4,0.12238,2.55019,7.43213,2
12.5,0.12238,2.55022,7.43214,2
12.6,0.12239,2.55026,7.43214,2
12.7,0.12239,2.55029,7.43215,2
12.8,0.1224,2.55032,7.43215,2
12.9,0.12241,2.55035,7.43215,2
13,0.12241,2.55039,7.43216,2
13.1,0.12242,2.55042,7.43216,2
13.2,0.12243,2.55045,7.43217,2
13.3,0.12243,2.55048,7.43217,2
13.4,0.12244,2.55051,7.43217,2
13.5,0.12244,2.55054,7.43218,2
13.6,0.12245,2.55058,7.43218,2
13.7,0.12246,2.55061,7.43219,2
13.8,0.12246,2.55064,7.43219,2
13.9,0.12247,2.55067,7.43219,2
14,0.12247,2.5507,7.4322,2
14.1,0.12248,2.55073,7.4322,2
14.2,0.12249,2.55076,7.4322,2
14.3,0.12249,2.55079,7.43221,2
14.4,0.1225,2.55082,7.43221,2
14.5,0.1225,2.55085,7.43221,2
14.6,0.12251,2.55088,7.43222,2
14.7,0.12251,2.55091,7.43222,2
14.8,0.12252,2.55094,7.43222,2
14.9,0.12253,2.55097,7.43223,2
15,0.12253,2.551,7.43223,2
15.1,0.12254,2.55103,7.43223,2
15.2,0.12254,2.55106,7.43224,2
15.3,0.12255,2.55109,7.43224,2
15.4,0.12255,2.55112,7.43224,2
15.5,0.12256,2.55114,7.43225,2
15.6,0.12257,2.55117,7.43225,2
15.7,0.12257,2.5512,7.43225,2
15.8,0.12258,2.55123,7.43225,2
15.9,0.12258,2.55126,7.43226,2
16,0.12259,2.55129,7.43226,2
16.1,0.12259,2.55131,7.43226,2
16.2,0.1226,2.55134,7.43227,2
16.3,0.12261,2.55137,7.43227,2
16.4,0.12261,2.5514,7.43227,2
16.5,0.12262,2.55143,7.43227,2
16.6,0.12262,2.55145,7.43228,2
16.7,0.12263,2.55148,7.43228,2
16.8,0.12263,2.55151,7.43228,2
16.9,0.12264,2.55153,7.43228,2
17,0.12264,2.55156,7.43228,2
17.1,0.12265,2.55159,7.43229,2
17.2,0.12265,2.55161,7.43229,2
17.3,0.12266,2.55164,7.43229,2
17.4,0.12267,2.55167,7.43229,2
17.5,0.12267,2.55169,7.4323,2
17.6,0.12268,2.55172,7.4323,2
17.7,0.12268,2.55175,7.4323,2
17.8,0.12269,2.55177,7.4323,2
17.9,0.12269,2.5518,7.4323,2
18,0.1227,2.55182,7.43231,2
18.1,0.1227,2.55185,7.43231,2
18.2,0.12271,2.55187,7.43231,2
18.3,0.12271,2.5519,7.43231,2
18.4,0.12272,2.55192,7.43231,2
18.5,0.12272,2.55195,7.43231,2
18.6,0.12273,2.55197,7.43232,2
18.7,0.12273,2.552,7.43232,2
18.8,0.12274,2.55202,7.43232,2
18.9,0.12274,2.55205,7.43232,2
19,0.12275,2.55207,7.43232,2
19.1,0.12275,2.5521,7.43232,2
19.2,0.12276,2.55212,7.43232,2
19.3,0.12276,2.55214,7.43233,2
19.4,0.12277,2.55217,7.43233,2
19.5,0.12277,2.55219,7.43233,2
19.6,0.12278,2.55221,7.43233,2
19.7,0.12278,2.55224,7.43233,2
19.8,0.12279,2.55226,7.43233,2
19.9,0.12279,2.55228,7.43233,2
20,0.1228,2.55231,7.43233,2
20.1,0.1228,2.55233,7.43234,2
20.2,0.12281,2.55235,7.43234,2
20.3,0.12281,2.55238,7.43234,2
20.4,0.12282,2.5524,7.43234,2
20.5,0.12282,2.55242,7.43234,2
20.6,0.12283,2.55244,7.43234,2
20.7,0.12283,2.55247,7.43234,2
20.8,0.12284,2.55249,7.43234,2
20.9,0.12284,2.55251,7.43234,2
21,0.12285,2.55253,7.43234,2
21.1,0.12285,2.55255,7.43234,2
21.2,0.12286,2.55258,7.43235,2
21.3,0.12286,2.5526,7.43235,2
21.4,0.12287,2.55262,7.43235,2
21.5,0.12287,2.55264,7.43235,2
21.6,0.12288,2.55266,7.43235,2
21.7,0.12288,2.55268,7.43235,2
21.8,0.12289,2.5527,7.43235,2
21.9,0.12289,2.55273,7.43235,2
22,0.1229,2.55275,7.43235,2
22.1,0.1229,2.55277,7.43235,2
22.2,0.12291,2.55279,7.43235,2
22.3,0.12291,2.55281,7.43235,2
22.4,0.12292,2.55283,7.43235,2
22.5,0.12292,2.55285,7.43235,2
22.6,0.12292,2.55287,7.43235,2
22.7,0.12293,2.55289,7.43235,2
22.8,0.12293,2.55291,7.43235,2
22.9,0.12294,2.55293,7.43235,2
23,0.12294,2.55295,7.43235,2
23.1,0.12295,2.55297,7.43235,2
23.2,0.12295,2.55299,7.43235,2
23.3,0.12296,2.55301,7.43235,2
23.4,0.12296,2.55303,7.43235,2
23.5,0.12297,2.55305,7.43235,2
23.6,0.12297,2.55307,7.43235,2
23.7,0.12298,2.55308,7.43235,2
23.8,0.12298,2.5531,7.43235,2
23.9,0.12298,2.55312,7.43235,2
24,0.12299,2.55314,7.43235,2
24.1,0.12299,2.55316,7.43235,2
24.2,0.123,2.55318,7.43235,2
24.3,0.123,2.5532,7.43235,2
24.4,0.12301,2.55321,7.43235,2
24.5,0.12301,2.55323,7.43235,2
24.6,0.12302,2.55325,7.43235,2
24.7,0.12302,2.55327,7.43235,2
24.8,0.12302,2.55329,7.43235,2
24.9,0.12303,2.5533,7.43235,2
25,0.12303,2.55332,7.43235,2
25.1,0.12304,2.55334,7.43235,2
25.2,0.12304,2.55336,7.43234,2
25.3,0.12305,2.55337,7.43234,2
25.4,0.12305,2.55339,7.43234,2
25.5,0.12306,2.55341,7.43234,2
25.6,0.12306,2.55343,7.43234,2
25.7,0.12306,2.55344,7.43234,2
25.8,0.12307,2.55346,7.43234,2
25.9,0.12307,2.55348,7.43234,2
26,0.12308,2.55349,7.43234,2
26.1,0.12308,2.55351,7.43234,2
26.2,0.12309,2.55353,7.43234,2
26.3,0.12309,2.55354,7.43234,2
26.4,0.12309,2.55356,7.43233,2
