Time (s),HB (mM),Glu (mM),pH,label
0.1,0.09788,3.29371,7.5764,3
0.2,0.09782,3.29351,7.57636,3
0.3,0.09776,3.2933,7.57631,3
0.4,0.0977,3.29309,7.57627,3
0.5,0.09765,3.29289,7.57623,3
0.6,0.09759,3.29268,7.57619,3
0.7,0.09753,3.29248,7.57615,3
0.8,0.09747,3.29228,7.57611,3
0.9,0.09742,3.29208,7.57607,3
1,0.09736,3.29188,7.57603,3
1.1,0.0973,3.29168,7.576,3
1.2,0.09725,3.29148,7.57596,3
1.3,0.09719,3.29129,7.57592,3
1.4,0.09714,3.29109,7.57588,3
1.5,0.09708,3.2909,7.57584,3
1.6,0.09703,3.29071,7.5758,3
1.7,0.09697,3.29051,7.57576,3
1.8,0.09692,3.29032,7.57572,3
1.9,0.09686,3.29014,7.57569,3
2,0.09681,3.28995,7.57565,3
2.1,0.09675,3.28976,7.57561,3
2.2,0.0967,3.28958,7.57557,3
2.3,0.09664,3.28939,7.57554,3
2.4,0.09659,3.28921,7.5755,3
2.5,0.09654,3.28903,7.57546,3
2.6,0.09649,3.28885,7.57543,3
2.7,0.09643,3.28867,7.57539,3
2.8,0.09638,3.28849,7.57535,3
2.9,0.09633,3.28831,7.57532,3
3,0.09627,3.28814,7.57528,3
3.1,0.09622,3.28796,7.57525,3
3.2,0.09617,3.28779,7.57521,3
3.3,0.09612,3.28762,7.57517,3
3.4,0.09607,3.28745,7.57514,3
3.5,0.09602,3.28727,7.5751,3
3.6,0.09597,3.28711,7.57507,3
3.7,0.09592,3.28694,7.57503,3
3.8,0.09586,3.28677,7.575,3
3.9,0.09581,3.2866,7.57496,3
4,0.09576,3.28644,7.57493,3
4.1,0.09571,3.28628,7.5749,3
4.2,0.09566,3.28611,7.57486,3
4.3,0.09562,3.28595,7.57483,3
4.4,0.09557,3.28579,7.57479,3
4.5,0.09552,3.28563,7.57476,3
4.6,0.09547,3.28547,7.57473,3
4.7,0.09542,3.28532,7.57469,3
4.8,0.09537,3.28516,7.57466,3
4.9,0.09532,3.28501,7.57463,3
5,0.09527,3.28485,7.57459,3
5.1,0.09523,3.2847,7.57456,3
5.2,0.09518,3.28455,7.57453,3
5.3,0.09513,3.2844,7.5745,3
5.4,0.09508,3.28425,7.57447,3
5.5,0.09504,3.2841,7.57443,3
5.6,0.09499,3.28395,7.5744,3
5.7,0.09494,3.2838,7.57437,3
5.8,0.0949,3.28366,7.57434,3
5.9,0.09485,3.28351,7.57431,3
6,0.0948,3.28337,7.57428,3
6.1,0.09476,3.28322,7.57424,3
6.2,0.09471,3.28308,7.57421,3
6.3,0.09467,3.28294,7.57418,3
6.4,0.09462,3.2828,7.57415,3
6.5,0.09458,3.28266,7.57412,3
6.6,0.09453,3.28253,7.57409,3
6.7,0.09449,3.28239,7.57406,3
6.8,0.09444,3.28225,7.57403,3
6.9,0.0944,3.28212,7.574,3
7,0.09435,3.28199,7.57397,3
7.1,0.09431,3.28185,7.57394,3
7.2,0.09427,3.28172,7.57391,3
7.3,0.09422,3.28159,7.57388,3
7.4,0.09418,3.28146,7.57385,3
7.5,0.09414,3.28133,7.57383,3
7.6,0.09409,3.2812,7.5738,3
7.7,0.09405,3.28108,7.57377,3
7.8,0.09401,3.28095,7.57374,3
7.9,0.09396,3.28083,7.57371,3
8,0.09392,3.2807,7.57368,3
8.1,0.09388,3.28058,7.57365,3
8.2,0.09384,3.28046,7.57363,3
8.3,0.0938,3.28033,7.5736,3
8.4,0.09375,3.28021,7.57357,3
8.5,0.09371,3.2801,7.57354,3
8.6,0.09367,3.27998,7.57352,3
8.7,0.09363,3.27986,7.57349,3
8.8,0.09359,3.27974,7.57346,3
8.9,0.09355,3.27963,7.57344,3
9,0.09351,3.27951,7.57341,3
9.1,0.09347,3.2794,7.57338,3
9.2,0.09343,3.27928,7.57336,3
9.3,0.09339,3.27917,7.57333,3
9.4,0.09335,3.27906,7.5733,3
9.5,0.09331,3.27895,7.57328,3
9.6,0.09327,3.27884,7.57325,3
9.7,0.09323,3.27873,7.57322,3
9.8,0.09319,3.27863,7.5732,3
9.9,0.09315,3.27852,7.57317,3
10,0.09311,3.27841,7.57315,3
10.1,0.09307,3.27831,7.57312,3
10.2,0.09303,3.2782,7.5731,3
10.3,0.093,3.2781,7.57307,3
