Time (s),HB (mM),Glu (mM),pH,label
0.1,0.11798,2.57041,7.46455,1
0.2,0.11792,2.5706,7.46454,1
0.3,0.11786,2.57078,7.46454,1
0.4,0.1178,2.57096,7.46454,1
0.5,0.11773,2.57114,7.46453,1
0.6,0.11767,2.57133,7.46453,1
0.7,0.11761,2.57151,7.46453,1
0.8,0.11755,2.57169,7.46452,1
0.9,0.11749,2.57187,7.46452,1
1,0.11743,2.57205,7.46452,1
1.1,0.11737,2.57223,7.46451,1
1.2,0.11731,2.5724,7.46451,1
1.3,0.11724,2.57258,7.4645,1
1.4,0.11718,2.57276,7.4645,1
1.5,0.11713,2.57294,7.4645,1
1.6,0.11707,2.57311,7.46449,1
1.7,0.11701,2.57329,7.46449,1
1.8,0.11695,2.57346,7.46449,1
1.9,0.11689,2.57364,7.46448,1
2,0.11683,2.57381,7.46448,1
2.1,0.11677,2.57398,7.46448,1
2.2,0.11671,2.57415,7.46447,1
2.3,0.11666,2.57433,7.46447,1
2.4,0.1166,2.5745,7.46447,1
2.5,0.11654,2.57467,7.46446,1
2.6,0.11648,2.57484,7.46446,1
2.7,0.11643,2.57501,7.46446,1
2.8,0.11637,2.57518,7.46445,1
2.9,0.11631,2.57535,7.46445,1
3,0.11626,2.57551,7.46445,1
3.1,0.1162,2.57568,7.46444,1
3.2,0.11614,2.57585,7.46444,1
3.3,0.11609,2.57601,7.46444,1
3.4,0.11603,2.57618,7.46443,1
3.5,0.11598,2.57634,7.46443,1
3.6,0.11592,2.57651,7.46443,1
3.7,0.11587,2.57667,7.46443,1
3.8,0.11581,2.57684,7.46442,1
3.9,0.11576,2.577,7.46442,1
4,0.11571,2.57716,7.46442,1
4.1,0.11565,2.57732,7.46441,1
4.2,0.1156,2.57748,7.46441,1
4.3,0.11555,2.57765,7.46441,1
4.4,0.11549,2.57781,7.4644,1
4.5,0.11544,2.57796,7.4644,1
4.6,0.11539,2.57812,7.4644,1
4.7,0.11533,2.57828,7.4644,1
4.8,0.11528,2.57844,7.46439,1
4.9,0.11523,2.5786,7.46439,1
5,0.11518,2.57875,7.46439,1
5.1,0.11513,2.57891,7.46438,1
5.2,0.11508,2.57907,7.46438,1
5.3,0.11502,2.57922,7.46438,1
5.4,0.11497,2.57938,7.46438,1
5.5,0.11492,2.57953,7.46437,1
5.6,0.11487,2.57968,7.46437,1
5.7,0.11482,2.57984,7.46437,1
5.8,0.11477,2.57999,7.46437,1
5.9,0.11472,2.58014,7.46436,1
6,0.11467,2.58029,7.46436,1
6.1,0.11462,2.58045,7.46436,1
6.2,0.11457,2.5806,7.46436,1
6.3,0.11452,2.58075,7.46435,1
6.4,0.11448,2.5809,7.46435,1
6.5,0.11443,2.58104,7.46435,1
6.6,0.11438,2.58119,7.46435,1
6.7,0.11433,2.58134,7.46434,1
6.8,0.11428,2.58149,7.46434,1
6.9,0.11423,2.58164,7.46434,1
7,0.11419,2.58178,7.46434,1
7.1,0.11414,2.58193,7.46433,1
7.2,0.11409,2.58207,7.46433,1
7.3,0.11405,2.58222,7.46433,1
7.4,0.114,2.58236,7.46433,1
7.5,0.11395,2.58251,7.46432,1
7.6,0.11391,2.58265,7.46432,1
7.7,0.11386,2.58279,7.46432,1
7.8,0.11381,2.58293,7.46432,1
7.9,0.11377,2.58308,7.46431,1
8,0.11372,2.58322,7.46431,1
8.1,0.11368,2.58336,7.46431,1
8.2,0.11363,2.5835,7.46431,1
8.3,0.11359,2.58364,7.46431,1
8.4,0.11354,2.58378,7.4643,1
8.5,0.1135,2.58392,7.4643,1
8.6,0.11345,2.58406,7.4643,1
8.7,0.11341,2.58419,7.4643,1
8.8,0.11336,2.58433,7.4643,1
8.9,0.11332,2.58447,7.46429,1
9,0.11328,2.5846,7.46429,1
9.1,0.11323,2.58474,7.46429,1
9.2,0.11319,2.58488,7.46429,1
9.3,0.11315,2.58501,7.46428,1
9.4,0.1131,2.58514,7.46428,1
9.5,0.11306,2.58528,7.46428,1
9.6,0.11302,2.58541,7.46428,1
9.7,0.11298,2.58554,7.46428,1
9.8,0.11293,2.58568,7.46428,1
9.9,0.11289,2.58581,7.46427,1
10,0.11285,2.58594,7.46427,1
10.1,0.11281,2.58607,7.46427,1
10.2,0.11277,2.5862,7.46427,1
10.3,0.11273,2.58633,7.46427,1
10.4,0.11269,2.58646,7.46426,1
10.5,0.11264,2.58659,7.46426,1
10.6,0.1126,2.58672,7.46426,1
10.7,0.11256,2.58685,7.46426,1
10.8,0.11252,2.58698,7.46426,1
10.9,0.11248,2.5871,7.46425,1
11,0.11244,2.58723,7.46425,1
11.1,0.1124,2.58736,7.46425,1
11.2,0.11236,2.58748,7.46425,1
11.3,0.11232,2.58761,7.46425,1
11.4,0.11228,2.58773,7.46425,1
11.5,0.11225,2.58786,7.46424,1
11.6,0.11221,2.58798,7.46424,1
11.7,0.11217,2.58811,7.46424,1
11.8,0.11213,2.58823,7.46424,1
11.9,0.11209,2.58835,7.46424,1
12,0.11205,2.58847,7.46424,1
12.1,0.11201,2.58859,7.46423,1
12.2,0.11198,2.58872,7.46423,1
12.3,0.11194,2.58884,7.46423,1
12.4,0.1119,2.58896,7.46423,1
12.5,0.11186,2.58908,7.46423,1
12.6,0.11183,2.5892,7.46423,1
12.7,0.11179,2.58932,7.46423,1
12.8,0.11175,2.58943,7.46422,1
12.9,0.11172,2.58955,7.46422,1
13,0.11168,2.58967,7.46422,1
13.1,0.11164,2.58979,7.46422,1
13.2,0.11161,2.5899,7.46422,1
13.3,0.11157,2.59002,7.46422,1
13.4,0.11154,2.59014,7.46422,1
13.5,0.1115,2.59025,7.46421,1
13.6,0.11146,2.59037,7.46421,1
13.7,0.11143,2.59048,7.46421,1
13.8,0.11139,2.5906,7.46421,1
13.9,0.11136,2.59071,7.46421,1
14,0.11132,2.59082,7.46421,1
14.1,0.11129,2.59094,7.46421,1
14.2,0.11125,2.59105,7.4642,1
14.3,0.11122,2.59116,7.4642,1
14.4,0.11119,2.59127,7.4642,1
14.5,0.11115,2.59138,7.4642,1
14.6,0.11112,2.59149,7.4642,1
14.7,0.11108,2.5916,7.4642,1
14.8,0.11105,2.59171,7.4642,1
14.9,0.11102,2.59182,7.4642,1
15,0.11098,2.59193,7.4642,1
15.1,0.11095,2.59204,7.46419,1
15.2,0.11092,2.59215,7.46419,1
15.3,0.11088,2.59226,7.46419,1
15.4,0.11085,2.59236,7.46419,1
15.5,0.11082,2.59247,7.46419,1
15.6,0.11079,2.59258,7.46419,1
15.7,0.11075,2.59268,7.46419,1
15.8,0.11072,2.59279,7.46419,1
15.9,0.11069,2.59289,7.46419,1
16,0.11066,2.593,7.46418,1
16.1,0.11063,2.5931,7.46418,1
16.2,0.1106,2.59321,7.46418,1
16.3,0.11056,2.59331,7.46418,1
16.4,0.11053,2.59341,7.46418,1
16.5,0.1105,2.59352,7.46418,1
16.6,0.11047,2.59362,7.46418,1
16.7,0.11044,2.59372,7.46418,1
16.8,0.11041,2.59382,7.46418,1
16.9,0.11038,2.59392,7.46418,1
17,0.11035,2.59403,7.46417,1
17.1,0.11032,2.59413,7.46417,1
17.2,0.11029,2.59423,7.46417,1
17.3,0.11026,2.59433,7.46417,1
17.4,0.11023,2.59442,7.46417,1
17.5,0.1102,2.59452,7.46417,1
17.6,0.11017,2.59462,7.46417,1
17.7,0.11014,2.59472,7.46417,1
17.8,0.11011,2.59482,7.46417,1
17.9,0.11008,2.59491,7.46417,1
18,0.11005,2.59501,7.46417,1
18.1,0.11002,2.59511,7.46416,1
18.2,0.11,2.5952,7.46416,1
18.3,0.10997,2.5953,7.46416,1
18.4,0.10994,2.59539,7.46416,1
18.5,0.10991,2.59549,7.46416,1
18.6,0.10988,2.59558,7.46416,1
18.7,0.10985,2.59568,7.46416,1
18.8,0.10983,2.59577,7.46416,1
18.9,0.1098,2.59586,7.46416,1
19,0.10977,2.59596,7.46416,1
19.1,0.10974,2.59605,7.46416,1
19.2,0.10972,2.59614,7.46416,1
19.3,0.10969,2.59623,7.46416,1
19.4,0.10966,2.59633,7.46416,1
19.5,0.10964,2.59642,7.46415,1
19.6,0.10961,2.59651,7.46415,1
19.7,0.10958,2.5966,7.46415,1
19.8,0.10956,2.59669,7.46415,1
19.9,0.10953,2.59678,7.46415,1
20,0.1095,2.59687,7.46415,1
20.1,0.10948,2.59695,7.46415,1
20.2,0.10945,2.59704,7.46415,1
20.3,0.10942,2.59713,7.46415,1
20.4,0.1094,2.59722,7.46415,1
20.5,0.10937,2.59731,7.46415,1
20.6,0.10935,2.59739,7.46415,1
20.7,0.10932,2.59748,7.46415,1
20.8,0.1093,2.59757,7.46415,1
20.9,0.10927,2.59765,7.46415,1
21,0.10925,2.59774,7.46415,1
21.1,0.10922,2.59782,7.46415,1
21.2,0.1092,2.59791,7.46415,1
21.3,0.10917,2.59799,7.46414,1
21.4,0.10915,2.59807,7.46414,1
21.5,0.10912,2.59816,7.46414,1
21.6,0.1091,2.59824,7.46414,1
21.7,0.10908,2.59832,7.46414,1
21.8,0.10905,2.59841,7.46414,1
21.9,0.10903,2.59849,7.46414,1
22,0.109,2.59857,7.46414,1
22.1,0.10898,2.59865,7.46414,1
22.2,0.10896,2.59873,7.46414,1
22.3,0.10893,2.59881,7.46414,1
22.4,0.10891,2.59889,7.46414,1
22.5,0.10889,2.59897,7.46414,1
22.6,0.10886,2.59905,7.46414,1
22.7,0.10884,2.59913,7.46414,1
22.8,0.10882,2.59921,7.46414,1
22.9,0.10879,2.59929,7.46414,1
23,0.10877,2.59937,7.46414,1
23.1,0.10875,2.59945,7.46414,1
23.2,0.10873,2.59953,7.46414,1
23.3,0.1087,2.5996,7.46414,1
23.4,0.10868,2.59968,7.46414,1
