Time (s),HB (mM),Glu (mM),pH,label
0.1,0.17926,2.97625,7.51686,2
0.2,0.1792,2.97627,7.51687,2
0.3,0.17913,2.97629,7.51687,2
0.4,0.17907,2.9763,7.51688,2
0.5,0.17901,2.97632,7.51687,2
0.6,0.17895,2.97634,7.51686,2
0.7,0.17889,2.97635,7.51684,2
0.8,0.17883,2.97637,7.51684,2
0.9,0.17877,2.97639,7.51683,2
1,0.17871,2.97641,7.51682,2
1.1,0.17865,2.97642,7.5168,2
1.2,0.17859,2.97644,7.51681,2
1.3,0.17853,2.97645,7.5168,2
1.4,0.17848,2.97647,7.51677,2
1.5,0.17842,2.97649,7.51677,2
1.6,0.17836,2.9765,7.51676,2
1.7,0.1783,2.97652,7.51675,2
1.8,0.17825,2.97654,7.51673,2
1.9,0.17819,2.97655,7.51672,2
2,0.17813,2.97657,7.5167,2
2.1,0.17808,2.97658,7.51669,2
2.2,0.17802,2.9766,7.51667,2
2.3,0.17797,2.97662,7.51667,2
2.4,0.17791,2.97663,7.51666,2
2.5,0.17786,2.97665,7.51664,2
2.6,0.17781,2.97666,7.51663,2
2.7,0.17775,2.97668,7.51659,2
2.8,0.1777,2.97669,7.51656,2
2.9,0.17765,2.97671,7.51654,2
3,0.1776,2.97673,7.51652,2
3.1,0.17754,2.97674,7.5165,2
3.2,0.17749,2.97676,7.51647,2
3.3,0.17744,2.97677,7.51643,2
3.4,0.17739,2.97679,7.51642,2
3.5,0.17734,2.9768,7.5164,2
3.6,0.17729,2.97682,7.51638,2
3.7,0.17724,2.97683,7.51635,2
3.8,0.17719,2.97685,7.51632,2
3.9,0.17714,2.97686,7.51626,2
4,0.17709,2.97688,7.51623,2
4.1,0.17704,2.97689,7.51621,2
4.2,0.17699,2.97691,7.51619,2
4.3,0.17695,2.97692,7.51619,2
4.4,0.1769,2.97694,7.51619,2
4.5,0.17685,2.97695,7.51618,2
4.6,0.1768,2.97697,7.51612,2
4.7,0.17676,2.97698,7.51609,2
4.8,0.17671,2.977,7.51608,2
4.9,0.17667,2.97701,7.51609,2
5,0.17662,2.97703,7.51608,2
5.1,0.17657,2.97704,7.51607,2
5.2,0.17653,2.97706,7.51603,2
5.3,0.17648,2.97707,7.51602,2
5.4,0.17644,2.97709,7.51603,2
5.5,0.1764,2.9771,7.516,2
5.6,0.17635,2.97712,7.51601,2
5.7,0.17631,2.97713,7.516,2
5.8,0.17627,2.97715,7.51599,2
5.9,0.17622,2.97716,7.51595,2
6,0.17618,2.97718,7.51594,2
6.1,0.17614,2.97719,7.51594,2
6.2,0.1761,2.9772,7.51596,2
6.3,0.17605,2.97722,7.51595,2
6.4,0.17601,2.97723,7.51593,2
6.5,0.17597,2.97725,7.51588,2
