Time (s),HB (mM),Glu (mM),pH,label
0.1,0.07886,3.48784,7.56136,3
0.2,0.07883,3.48772,7.56135,3
0.3,0.0788,3.4876,7.56135,3
0.4,0.07877,3.48748,7.56134,3
0.5,0.07875,3.48737,7.56133,3
0.6,0.07872,3.48725,7.56133,3
0.7,0.07869,3.48713,7.56132,3
0.8,0.07866,3.48702,7.56132,3
0.9,0.07863,3.4869,7.56131,3
1,0.07861,3.48679,7.56131,3
1.1,0.07858,3.48667,7.5613,3
1.2,0.07855,3.48656,7.56129,3
1.3,0.07852,3.48645,7.56129,3
1.4,0.0785,3.48633,7.56128,3
1.5,0.07847,3.48622,7.56128,3
1.6,0.07844,3.48611,7.56127,3
1.7,0.07841,3.486,7.56127,3
1.8,0.07839,3.48589,7.56126,3
1.9,0.07836,3.48578,7.56126,3
2,0.07833,3.48567,7.56125,3
2.1,0.07831,3.48556,7.56125,3
2.2,0.07828,3.48545,7.56124,3
2.3,0.07825,3.48534,7.56124,3
2.4,0.07823,3.48524,7.56123,3
2.5,0.0782,3.48513,7.56123,3
2.6,0.07818,3.48502,7.56122,3
2.7,0.07815,3.48492,7.56122,3
2.8,0.07812,3.48481,7.56121,3
2.9,0.0781,3.48471,7.56121,3
3,0.07807,3.4846,7.5612,3
3.1,0.07805,3.4845,7.5612,3
3.2,0.07802,3.4844,7.56119,3
3.3,0.078,3.48429,7.56119,3
3.4,0.07797,3.48419,7.56118,3
3.5,0.07795,3.48409,7.56118,3
3.6,0.07792,3.48399,7.56117,3
3.7,0.0779,3.48389,7.56117,3
3.8,0.07787,3.48379,7.56116,3
3.9,0.07785,3.48369,7.56116,3
4,0.07782,3.48359,7.56116,3
4.1,0.0778,3.48349,7.56115,3
4.2,0.07777,3.48339,7.56115,3
4.3,0.07775,3.48329,7.56114,3
4.4,0.07773,3.4832,7.56114,3
4.5,0.0777,3.4831,7.56113,3
4.6,0.07768,3.483,7.56113,3
4.7,0.07765,3.48291,7.56112,3
4.8,0.07763,3.48281,7.56112,3
4.9,0.07761,3.48272,7.56112,3
5,0.07758,3.48262,7.56111,3
5.1,0.07756,3.48253,7.56111,3
5.2,0.07754,3.48244,7.5611,3
5.3,0.07751,3.48235,7.5611,3
5.4,0.07749,3.48225,7.5611,3
5.5,0.07747,3.48216,7.56109,3
5.6,0.07745,3.48207,7.56109,3
5.7,0.07742,3.48198,7.56108,3
5.8,0.0774,3.48189,7.56108,3
5.9,0.07738,3.4818,7.56108,3
6,0.07735,3.48171,7.56107,3
6.1,0.07733,3.48162,7.56107,3
6.2,0.07731,3.48153,7.56106,3
6.3,0.07729,3.48144,7.56106,3
6.4,0.07727,3.48136,7.56106,3
6.5,0.07724,3.48127,7.56105,3
6.6,0.07722,3.48118,7.56105,3
6.7,0.0772,3.4811,7.56104,3
6.8,0.07718,3.48101,7.56104,3
6.9,0.07716,3.48093,7.56104,3
7,0.07713,3.48084,7.56103,3
7.1,0.07711,3.48076,7.56103,3
7.2,0.07709,3.48067,7.56103,3
7.3,0.07707,3.48059,7.56102,3
7.4,0.07705,3.48051,7.56102,3
7.5,0.07703,3.48042,7.56102,3
7.6,0.07701,3.48034,7.56101,3
7.7,0.07699,3.48026,7.56101,3
7.8,0.07697,3.48018,7.56101,3
7.9,0.07695,3.4801,7.561,3
8,0.07692,3.48002,7.561,3
8.1,0.0769,3.47994,7.56099,3
8.2,0.07688,3.47986,7.56099,3
8.3,0.07686,3.47978,7.56099,3
8.4,0.07684,3.4797,7.56099,3
8.5,0.07682,3.47962,7.56098,3
8.6,0.0768,3.47954,7.56098,3
8.7,0.07678,3.47947,7.56098,3
8.8,0.07676,3.47939,7.56097,3
8.9,0.07674,3.47931,7.56097,3
9,0.07672,3.47924,7.56097,3
9.1,0.0767,3.47916,7.56096,3
9.2,0.07668,3.47908,7.56096,3
9.3,0.07667,3.47901,7.56096,3
9.4,0.07665,3.47894,7.56095,3
9.5,0.07663,3.47886,7.56095,3
9.6,0.07661,3.47879,7.56095,3
9.7,0.07659,3.47871,7.56094,3
9.8,0.07657,3.47864,7.56094,3
9.9,0.07655,3.47857,7.56094,3
10,0.07653,3.4785,7.56094,3
10.1,0.07651,3.47843,7.56093,3
10.2,0.07649,3.47835,7.56093,3
10.3,0.07648,3.47828,7.56093,3
10.4,0.07646,3.47821,7.56092,3
10.5,0.07644,3.47814,7.56092,3
10.6,0.07642,3.47807,7.56092,3
10.7,0.0764,3.478,7.56092,3
10.8,0.07638,3.47794,7.56091,3
10.9,0.07637,3.47787,7.56091,3
11,0.07635,3.4778,7.56091,3
11.1,0.07633,3.47773,7.56091,3
11.2,0.07631,3.47766,7.5609,3
11.3,0.0763,3.4776,7.5609,3
11.4,0.07628,3.47753,7.5609,3
11.5,0.07626,3.47746,7.5609,3
11.6,0.07624,3.4774,7.56089,3
11.7,0.07623,3.47733,7.56089,3
11.8,0.07621,3.47727,7.56089,3
11.9,0.07619,3.4772,7.56089,3
12,0.07617,3.47714,7.56088,3
12.1,0.07616,3.47708,7.56088,3
12.2,0.07614,3.47701,7.56088,3
12.3,0.07612,3.47695,7.56088,3
12.4,0.07611,3.47689,7.56087,3
12.5,0.07609,3.47682,7.56087,3
12.6,0.07607,3.47676,7.56087,3
12.7,0.07606,3.4767,7.56087,3
12.8,0.07604,3.47664,7.56087,3
12.9,0.07602,3.47658,7.56086,3
13,0.07601,3.47652,7.56086,3
13.1,0.07599,3.47646,7.56086,3
13.2,0.07597,3.4764,7.56086,3
13.3,0.07596,3.47634,7.56085,3
13.4,0.07594,3.47628,7.56085,3
13.5,0.07593,3.47622,7.56085,3
13.6,0.07591,3.47616,7.56085,3
13.7,0.0759,3.4761,7.56085,3
13.8,0.07588,3.47605,7.56084,3
13.9,0.07586,3.47599,7.56084,3
14,0.07585,3.47593,7.56084,3
14.1,0.07583,3.47588,7.56084,3
14.2,0.07582,3.47582,7.56084,3
14.3,0.0758,3.47576,7.56083,3
14.4,0.07579,3.47571,7.56083,3
14.5,0.07577,3.47565,7.56083,3
14.6,0.07576,3.4756,7.56083,3
14.7,0.07574,3.47554,7.56083,3
14.8,0.07573,3.47549,7.56082,3
14.9,0.07571,3.47543,7.56082,3
15,0.0757,3.47538,7.56082,3
15.1,0.07568,3.47533,7.56082,3
15.2,0.07567,3.47528,7.56082,3
15.3,0.07565,3.47522,7.56082,3
15.4,0.07564,3.47517,7.56081,3
15.5,0.07563,3.47512,7.56081,3
15.6,0.07561,3.47507,7.56081,3
15.7,0.0756,3.47502,7.56081,3
15.8,0.07558,3.47496,7.56081,3
15.9,0.07557,3.47491,7.56081,3
16,0.07555,3.47486,7.5608,3
16.1,0.07554,3.47481,7.5608,3
16.2,0.07553,3.47476,7.5608,3
16.3,0.07551,3.47471,7.5608,3
16.4,0.0755,3.47467,7.5608,3
16.5,0.07549,3.47462,7.5608,3
16.6,0.07547,3.47457,7.56079,3
16.7,0.07546,3.47452,7.56079,3
16.8,0.07545,3.47447,7.56079,3
16.9,0.07543,3.47443,7.56079,3
17,0.07542,3.47438,7.56079,3
17.1,0.07541,3.47433,7.56079,3
17.2,0.07539,3.47429,7.56079,3
17.3,0.07538,3.47424,7.56078,3
17.4,0.07537,3.47419,7.56078,3
17.5,0.07535,3.47415,7.56078,3
17.6,0.07534,3.4741,7.56078,3
17.7,0.07533,3.47406,7.56078,3
17.8,0.07531,3.47401,7.56078,3
17.9,0.0753,3.47397,7.56078,3
18,0.07529,3.47392,7.56078,3
18.1,0.07528,3.47388,7.56077,3
18.2,0.07526,3.47384,7.56077,3
18.3,0.07525,3.47379,7.56077,3
18.4,0.07524,3.47375,7.56077,3
18.5,0.07523,3.47371,7.56077,3
18.6,0.07522,3.47367,7.56077,3
18.7,0.0752,3.47362,7.56077,3
18.8,0.07519,3.47358,7.56077,3
18.9,0.07518,3.47354,7.56077,3
19,0.07517,3.4735,7.56076,3
19.1,0.07516,3.47346,7.56076,3
19.2,0.07514,3.47342,7.56076,3
19.3,0.07513,3.47338,7.56076,3
19.4,0.07512,3.47334,7.56076,3
19.5,0.07511,3.4733,7.56076,3
19.6,0.0751,3.47326,7.56076,3
19.7,0.07509,3.47322,7.56076,3
19.8,0.07507,3.47318,7.56076,3
19.9,0.07506,3.47314,7.56075,3
20,0.07505,3.4731,7.56075,3
20.1,0.07504,3.47307,7.56075,3
20.2,0.07503,3.47303,7.56075,3
20.3,0.07502,3.47299,7.56075,3
20.4,0.07501,3.47295,7.56075,3
20.5,0.075,3.47292,7.56075,3
20.6,0.07499,3.47288,7.56075,3
20.7,0.07497,3.47284,7.56075,3
20.8,0.07496,3.47281,7.56075,3
20.9,0.07495,3.47277,7.56075,3
21,0.07494,3.47273,7.56075,3
21.1,0.07493,3.4727,7.56074,3
21.2,0.07492,3.47266,7.56074,3
21.3,0.07491,3.47263,7.56074,3
21.4,0.0749,3.47259,7.56074,3
21.5,0.07489,3.47256,7.56074,3
21.6,0.07488,3.47253,7.56074,3
21.7,0.07487,3.47249,7.56074,3
21.8,0.07486,3.47246,7.56074,3
21.9,0.07485,3.47242,7.56074,3
22,0.07484,3.47239,7.56074,3
22.1,0.07483,3.47236,7.56074,3
22.2,0.07482,3.47233,7.56074,3
22.3,0.07481,3.47229,7.56074,3
22.4,0.0748,3.47226,7.56074,3
22.5,0.07479,3.47223,7.56073,3
22.6,0.07478,3.4722,7.56073,3
22.7,0.07477,3.47217,7.56073,3
22.8,0.07476,3.47213,7.56073,3
22.9,0.07475,3.4721,7.56073,3
23,0.07474,3.47207,7.56073,3
23.1,0.07473,3.47204,7.56073,3
23.2,0.07472,3.47201,7.56073,3
23.3,0.07471,3.47198,7.56073,3
23.4,0.07471,3.47195,7.56073,3
23.5,0.0747,3.47192,7.56073,3
23.6,0.07469,3.47189,7.56073,3
23.7,0.07468,3.47186,7.56073,3
23.8,0.07467,3.47184,7.56073,3
23.9,0.07466,3.47181,7.56073,3
24,0.07465,3.47178,7.56073,3
24.1,0.07464,3.47175,7.56073,3
24.2,0.07463,3.47172,7.56073,3
24.3,0.07463,3.4717,7.56073,3
24.4,0.07462,3.47167,7.56073,3
24.5,0.07461,3.47164,7.56073,3
24.6,0.0746,3.47161,7.56073,3
24.7,0.07459,3.47159,7.56072,3
24.8,0.07458,3.47156,7.56072,3
24.9,0.07457,3.47153,7.56072,3
25,0.07457,3.47151,7.56072,3
25.1,0.07456,3.47148,7.56072,3
25.2,0.07455,3.47146,7.56072,3
25.3,0.07454,3.47143,7.56072,3
25.4,0.07453,3.47141,7.56072,3
25.5,0.07452,3.47138,7.56072,3
25.6,0.07452,3.47136,7.56072,3
25.7,0.07451,3.47133,7.56072,3
25.8,0.0745,3.47131,7.56072,3
25.9,0.07449,3.47128,7.56072,3
26,0.07449,3.47126,7.56072,3
26.1,0.07448,3.47123,7.56072,3
26.2,0.07447,3.47121,7.56072,3
26.3,0.07446,3.47119,7.56072,3
26.4,0.07445,3.47116,7.56072,3
26.5,0.07445,3.47114,7.56072,3
26.6,0.07444,3.47112,7.56072,3
26.7,0.07443,3.4711,7.56072,3
